P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
9,9,1,650,2227,890,647,MP
9,10,8,384,3362,947,1763,DF
9,11,7,575,1059,980,4343,CF
9,12,6,610,1665,1858,1340,ACF
9,13,5,568,3282,3604,1419,MPF
9,14,4,225,2004,644,3162,DB
9,15,3,718,529,561,344,CB
9,16,2,444,3673,4614,2599,AC
9,17,1,420,2362,477,2048,MP
9,18,8,484,2748,886,1468,DF
9,19,7,186,1048,1503,10944,CF
9,20,6,441,4118,2703,2836,ACF
9,21,5,396,2070,821,11379,MPF
9,22,4,433,2388,552,470,DB
9,23,3,642,755,723,1217,CB
9,24,2,444,1523,545,430,AC
9,25,1,332,717,1411,582,MP
9,26,8,370,1301,,2897,DF
9,27,7,323,2100,1542,1017,CF
9,28,6,550,1872,1777,8143,ACF
9,29,5,355,829,2530,1010,MPF
9,30,4,157,825,968,1913,DB
9,31,3,737,1521,975,1273,CB
9,32,2,486,1281,564,943,AC
10,1,2,417,1085,448,3315,AC
10,2,1,303,562,379,11424,MP
10,3,8,729,1431,709,2134,DF
10,4,7,499,751,833,613,CF
10,5,6,428,2698,611,2172,ACF
10,6,5,648,1077,677,2480,MPF
10,7,4,305,541,377,1054,DB
10,8,3,448,534,398,1447,CB
10,9,2,1592,2467,508,2099,AC
10,10,1,572,475,875,672,MP
10,11,8,490,717,900,1464,DF
10,12,7,512,1339,1054,169,CF
10,13,6,827,1050,2723,,ACF
10,14,5,941,1033,2507,562,MPF
10,15,4,450,761,361,1565,DB
10,16,3,561,1036,326,3077,CB
10,17,2,348,537,381,4132,AC
10,18,1,774,821,410,1388,MP
10,19,8,324,1343,643,1462,DF
10,20,7,422,596,596,896,CF
10,21,6,669,1515,690,1144,ACF
10,22,5,941,780,1029,3266,MPF
10,23,4,589,1558,926,3275,DB
10,24,3,381,1623,1943,471,CB
10,25,2,394,1910,1500,786,AC
10,26,1,1206,605,437,2103,MP
10,27,8,2629,1685,473,386,DF
10,28,7,379,1054,606,1414,CF
10,29,6,1202,1716,671,1836,ACF
10,30,5,612,2877,961,1171,MPF
10,31,4,392,732,2678,1715,DB
10,32,3,547,2110,934,2657,CB
11,1,3,1296,1529,892,1720,CB
11,2,2,854,1421,1036,2677,AC
11,3,1,662,1298,554,1299,MP
11,4,8,448,1181,1069,1299,DF
11,5,7,651,1219,702,,CF
11,6,6,578,1253,1040,,ACF
11,7,5,940,969,2889,1023,MPF
11,8,4,764,899,618,1115,DB
11,9,3,907,1456,506,1685,CB
11,10,2,851,1154,1279,361,AC
11,11,1,1384,1329,681,826,MP
11,12,8,717,1558,753,,DF
11,13,7,569,1880,1601,3649,CF
11,14,6,746,738,1741,1611,ACF
11,15,5,705,902,1259,920,MPF
11,16,4,803,967,1206,974,DB
11,17,3,1164,2913,1386,1016,CB
11,18,2,1079,1229,841,9057,AC
11,19,1,1106,859,1290,789,MP
11,20,8,488,1099,1012,2469,DF
11,21,7,481,1139,618,406,CF
11,22,6,1093,1505,912,1719,ACF
11,23,5,1034,941,1402,1154,MPF
11,24,4,875,1851,671,,DB
11,25,3,721,946,608,591,CB
11,26,2,1139,814,1789,6118,AC
11,27,1,1022,1902,573,1473,MP
11,28,8,611,1390,627,720,DF
11,29,7,425,800,924,699,CF
11,30,6,768,863,1223,1480,ACF
11,31,5,1267,1227,674,1877,MPF
11,32,4,773,1170,2038,1279,DB
12,1,4,615,1143,1020,1168,DB
12,2,3,660,1080,1623,3195,CB
12,3,2,683,1100,1127,7510,AC
12,4,1,638,1005,3579,1812,MP
12,5,8,701,1382,854,974,DF
12,6,7,650,1294,2467,2037,CF
12,7,6,618,837,1837,4472,ACF
12,8,5,652,856,801,2880,MPF
12,9,4,456,3682,1529,3470,DB
12,10,3,2990,,,9104,CB
12,11,2,633,1261,866,2180,AC
12,12,1,827,1696,1479,1605,MP
12,13,8,601,863,1431,1126,DF
12,14,7,716,1280,2848,4778,CF
12,15,6,706,3465,2213,2620,ACF
12,16,5,557,956,1645,6358,MPF
12,17,4,972,1719,349,3817,DB
12,18,3,901,1658,668,621,CB
12,19,2,767,1037,1480,7273,AC
12,20,1,847,2418,604,659,MP
12,21,8,720,1496,1508,1629,DF
12,22,7,666,977,2753,3090,CF
12,23,6,1524,1144,1654,4661,ACF
12,24,5,906,803,1436,4466,MPF
12,25,4,579,4211,1730,1929,DB
12,26,3,689,1101,1353,1457,CB
12,27,2,716,2292,1205,6575,AC
12,28,1,850,4307,1225,1680,MP
12,29,8,770,1115,1041,4439,DF
12,30,7,1140,2205,1464,13932,CF
12,31,6,755,1522,5494,1962,ACF
12,32,5,1173,992,907,3474,MPF
