P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
7,19,5,1829,1346,1059,864,MPF
7,20,4,2221,1017,,407,DB
7,21,3,956,662,141,327,CB
7,22,2,1338,711,162,,AC
7,23,1,4485,394,103,277,MP
7,24,8,1515,445,623,478,DF
7,25,7,2256,917,919,278,CF
7,26,6,2535,1317,917,927,ACF
7,27,5,2423,1215,435,404,MPF
7,28,4,2277,1005,489,489,DB
7,29,3,8364,1123,398,335,CB
7,30,2,2626,1472,569,172,AC
7,31,1,3309,932,152,701,MP
7,32,8,4235,1390,277,436,DF
8,1,8,576,1330,547,599,DF
8,2,7,1188,898,671,278,CF
8,3,6,411,432,746,1293,ACF
8,4,5,656,672,451,339,MPF
8,5,4,975,507,580,398,DB
8,6,3,672,649,429,304,CB
8,7,2,393,945,515,450,AC
8,8,1,1796,742,369,597,MP
8,9,8,971,1392,526,1109,DF
8,10,7,1465,673,476,357,CF
8,11,6,1458,774,937,528,ACF
8,12,5,1917,668,175,300,MPF
8,13,4,713,866,,118,DB
8,14,3,688,529,408,318,CB
8,15,2,548,579,663,661,AC
8,16,1,824,734,332,564,MP
8,17,8,1271,335,580,355,DF
8,18,7,3246,796,641,696,CF
8,19,6,2146,644,616,699,ACF
8,20,5,948,883,238,493,MPF
8,21,4,1024,510,432,1125,DB
8,22,3,734,530,422,706,CB
8,23,2,1232,500,656,348,AC
8,24,1,1174,1390,489,800,MP
8,25,8,740,1173,442,860,DF
8,26,7,677,1337,543,292,CF
8,27,6,542,488,522,1145,ACF
8,28,5,805,905,1345,523,MPF
8,29,4,1328,535,627,2725,DB
8,30,3,1580,463,375,690,CB
8,31,2,871,596,160,321,AC
8,32,1,469,621,456,643,MP
9,1,1,595,525,527,145,MP
9,2,8,442,213,728,702,DF
9,3,7,434,943,1045,1170,CF
9,4,6,448,692,478,927,ACF
9,5,5,341,762,1430,719,MPF
9,6,4,607,1175,865,643,DB
9,7,3,420,1388,929,976,CB
9,8,2,357,503,955,577,AC
9,9,1,650,853,890,647,MP
9,10,8,384,1369,947,395,DF
9,11,7,575,1059,980,317,CF
9,12,6,610,1401,719,1340,ACF
9,13,5,568,940,964,608,MPF
9,14,4,225,2004,644,583,DB
9,15,3,718,529,561,344,CB
9,16,2,444,344,629,661,AC
9,17,1,420,1939,477,241,MP
9,18,8,484,2748,886,278,DF
9,19,7,186,1048,1503,589,CF
9,20,6,441,631,819,465,ACF
9,21,5,396,2070,821,1010,MPF
9,22,4,433,893,552,290,DB
9,23,3,642,755,723,447,CB
9,24,2,444,1523,545,430,AC
9,25,1,332,717,816,582,MP
9,26,8,370,1301,,138,DF
9,27,7,323,1090,680,620,CF
9,28,6,550,1159,925,215,ACF
9,29,5,355,829,839,530,MPF
9,30,4,157,825,968,268,DB
9,31,3,737,1521,975,152,CB
9,32,2,486,1281,564,285,AC
10,1,2,417,1085,448,422,AC
10,2,1,303,562,379,317,MP
10,3,8,729,898,709,386,DF
10,4,7,499,751,833,613,CF
10,5,6,428,507,611,375,ACF
10,6,5,648,1077,677,332,MPF
10,7,4,305,541,377,236,DB
10,8,3,448,534,398,253,CB
10,9,2,1592,1670,508,131,AC
10,10,1,572,475,428,672,MP
10,11,8,490,717,739,403,DF
10,12,7,512,296,537,169,CF
10,13,6,827,1050,447,,ACF
10,14,5,941,1033,776,562,MPF
10,15,4,450,761,361,206,DB
10,16,3,561,556,326,157,CB
10,17,2,348,537,381,284,AC
10,18,1,774,821,410,288,MP
10,19,8,324,1343,643,171,DF
10,20,7,422,310,596,400,CF
10,21,6,669,1158,690,887,ACF
10,22,5,941,780,480,165,MPF
10,23,4,589,1558,926,315,DB
10,24,3,381,296,488,471,CB
10,25,2,394,411,797,225,AC
10,26,1,1206,605,437,487,MP
10,27,8,2629,348,473,386,DF
10,28,7,379,1054,606,213,CF
10,29,6,1202,1562,671,1213,ACF
10,30,5,612,664,961,318,MPF
10,31,4,392,732,881,649,DB
10,32,3,547,2110,934,431,CB
11,1,3,1296,1529,892,552,CB
11,2,2,854,1421,1036,1736,AC
11,3,1,662,1298,554,844,MP
11,4,8,448,1038,782,488,DF
11,5,7,651,1219,702,366,CF
11,6,6,578,1253,1040,976,ACF
11,7,5,940,969,261,280,MPF
11,8,4,764,899,618,521,DB
11,9,3,907,1456,506,688,CB
11,10,2,851,1154,1279,170,AC
11,11,1,1384,1329,681,323,MP
11,12,8,717,1558,753,,DF
11,13,7,569,1880,1601,503,CF
11,14,6,746,738,1075,800,ACF
11,15,5,705,902,1010,387,MPF
11,16,4,803,967,1206,661,DB
11,17,3,1164,489,1386,789,CB
11,18,2,1079,1229,841,452,AC
11,19,1,1106,859,1290,422,MP
11,20,8,488,1099,1012,631,DF
11,21,7,481,1139,618,406,CF
11,22,6,1093,1505,912,373,ACF
11,23,5,1034,941,817,371,MPF
11,24,4,875,1851,671,,DB
11,25,3,721,946,608,365,CB
11,26,2,1139,814,950,361,AC
11,27,1,1022,1902,573,385,MP
11,28,8,611,1390,627,720,DF
11,29,7,425,800,924,699,CF
11,30,6,768,863,1223,483,ACF
11,31,5,1267,1227,674,244,MPF
11,32,4,773,1170,614,468,DB
12,1,4,615,1143,843,648,DB
12,2,3,660,1080,794,309,CB
12,3,2,683,1100,1127,386,AC
12,4,1,638,1005,719,427,MP
12,5,8,701,1382,854,720,DF
12,6,7,650,913,975,417,CF
12,7,6,618,837,1328,495,ACF
12,8,5,652,856,801,582,MPF
12,9,4,456,1220,701,694,DB
12,10,3,2990,,,368,CB
12,11,2,633,1261,866,1087,AC
12,12,1,827,1696,1227,771,MP
12,13,8,601,863,1084,1126,DF
12,14,7,716,1280,1365,641,CF
12,15,6,706,886,1215,643,ACF
12,16,5,557,956,1013,546,MPF
12,17,4,972,1719,349,452,DB
12,18,3,901,1658,668,621,CB
12,19,2,767,1037,192,491,AC
12,20,1,847,207,604,659,MP
12,21,8,720,1496,1308,619,DF
12,22,7,666,977,1847,558,CF
12,23,6,1524,1020,1054,213,ACF
12,24,5,906,803,943,572,MPF
12,25,4,579,2188,608,603,DB
12,26,3,689,1101,471,304,CB
12,27,2,716,2292,853,594,AC
12,28,1,850,1179,720,627,MP
12,29,8,770,1115,853,619,DF
12,30,7,1140,2205,1464,570,CF
12,31,6,755,1522,958,699,ACF
12,32,5,1173,992,907,759,MPF
13,1,5,1431,1022,1768,581,MPF
13,2,4,904,537,578,430,DB
13,3,3,906,764,933,586,CB
13,4,2,566,1684,709,663,AC
13,5,1,1282,1148,1254,835,MP
13,6,8,1685,1260,1344,513,DF
13,7,7,762,621,139,359,CF
13,8,6,1050,1572,1238,563,ACF
13,9,5,1615,807,1186,636,MPF
13,10,4,855,887,737,376,DB
13,11,3,720,742,737,1112,CB
13,12,2,781,776,115,383,AC
13,13,1,868,847,1062,413,MP
13,14,8,1132,1163,1603,323,DF
13,15,7,1078,1348,,385,CF
13,16,6,667,420,706,1013,ACF
13,17,5,2063,2262,605,1078,MPF
13,18,4,661,1612,1016,230,DB
13,19,3,682,750,665,611,CB
13,20,2,1486,699,893,496,AC
13,21,1,2491,715,335,315,MP
13,22,8,1008,1224,919,2183,DF
13,23,7,834,909,1109,1381,CF
13,24,6,1231,1489,109,503,ACF
13,25,5,1026,1196,122,528,MPF
13,26,4,807,1470,621,769,DB
13,27,3,828,2166,947,668,CB
13,28,2,829,913,1568,1039,AC
13,29,1,711,813,406,326,MP
13,30,8,971,835,1001,147,DF
13,31,7,846,768,,337,CF
13,32,6,1118,1814,1983,814,ACF
14,1,6,381,,623,312,ACF
14,2,5,,,,,MPF
14,3,4,169,160,610,190,DB
14,4,3,137,426,246,431,CB
14,5,2,,,,1450,AC
14,6,1,197,,154,329,MP
14,7,8,177,,465,513,DF
14,8,7,446,185,906,910,CF
14,9,6,198,,246,427,ACF
14,10,5,,,632,455,MPF
14,11,4,,,334,645,DB
14,12,3,,,,1593,CB
14,13,2,1649,403,264,303,AC
14,14,1,158,,269,1367,MP
14,15,8,298,,223,421,DF
14,16,7,160,,350,1334,CF
14,17,6,,,698,197,ACF
14,18,5,,,677,374,MPF
14,19,4,573,313,227,251,DB
14,20,3,168,153,230,741,CB
14,21,2,830,990,784,,AC
14,22,1,,,132,1330,MP
14,23,8,213,658,252,212,DF
14,24,7,284,471,346,582,CF
14,25,6,601,,694,1304,ACF
14,26,5,511,,293,150,MPF
14,27,4,,,2059,312,DB
14,28,3,641,571,1360,202,CB
14,29,2,,,581,680,AC
14,30,1,150,,853,563,MP
14,31,8,,,647,162,DF
14,32,7,,,134,361,CF
15,1,7,1635,476,870,2208,CF
15,2,6,608,1072,967,766,ACF
15,3,5,527,794,804,1296,MPF
15,4,4,1022,859,812,1512,DB
15,5,3,947,789,587,1743,CB
15,6,2,999,850,655,1192,AC
15,7,1,1917,885,500,789,MP
15,8,8,686,1073,1102,1051,DF
15,9,7,1053,359,1085,593,CF
15,10,6,1196,1442,1021,1318,ACF
15,11,5,1803,737,631,1124,MPF
15,12,4,1031,226,607,1344,DB
15,13,3,668,866,522,790,CB
15,14,2,950,1341,535,596,AC
15,15,1,1252,1119,518,813,MP
15,16,8,516,635,694,971,DF
15,17,7,966,1077,1120,2033,CF
15,18,6,1691,873,735,1882,ACF
15,19,5,1612,1419,551,1687,MPF
15,20,4,500,576,566,725,DB
15,21,3,1755,936,560,1097,CB
15,22,2,588,1470,645,677,AC
15,23,1,993,700,590,301,MP
15,24,8,1343,1230,555,1182,DF
15,25,7,1544,1022,1090,1640,CF
15,26,6,619,830,891,1420,ACF
15,27,5,625,687,686,1261,MPF
15,28,4,610,776,575,1149,DB
15,29,3,1565,1032,430,1307,CB
15,30,2,1872,1605,1093,1231,AC
15,31,1,947,523,781,959,MP
15,32,8,1069,398,990,1670,DF
16,1,8,1824,828,666,821,DF
16,2,7,776,1105,756,552,CF
16,3,6,971,2186,1089,1134,ACF
16,4,5,1153,182,1142,1059,MPF
16,5,4,1286,959,422,486,DB
16,6,3,839,,426,403,CB
16,7,2,1391,732,548,451,AC
16,8,1,1965,1497,410,384,MP
16,9,8,1268,1202,692,723,DF
16,10,7,1136,1926,759,642,CF
16,11,6,2191,2147,1052,411,ACF
16,12,5,1277,1595,691,947,MPF
16,13,4,1149,2554,2407,687,DB
16,14,3,1238,1131,1121,490,CB
16,15,2,1721,764,547,606,AC
16,16,1,1280,539,544,227,MP
16,17,8,2689,1242,577,509,DF
16,18,7,2250,1478,1217,596,CF
16,19,6,2062,2745,2818,423,ACF
16,20,5,2164,1650,1063,626,MPF
16,21,4,927,1133,464,212,DB
16,22,3,1031,340,504,416,CB
16,23,2,1254,1218,459,313,AC
16,24,1,1300,918,852,627,MP
16,25,8,2176,1718,613,689,DF
16,26,7,1396,1379,970,673,CF
16,27,6,1910,954,393,440,ACF
16,28,5,1713,1693,588,1138,MPF
16,29,4,1434,635,526,289,DB
16,30,3,1231,1162,407,500,CB
16,31,2,1606,1063,567,204,AC
16,32,1,1624,1666,950,144,MP
17,1,1,495,1063,674,625,MP
17,2,8,385,634,621,560,DF
17,3,7,522,578,761,354,CF
17,4,6,448,165,740,724,ACF
17,5,5,1112,892,623,976,MPF
17,6,4,558,719,726,518,DB
17,7,3,557,780,479,576,CB
17,8,2,801,1371,974,620,AC
17,9,1,649,1020,445,507,MP
17,10,8,422,610,690,540,DF
17,11,7,369,848,643,1273,CF
17,12,6,461,830,771,308,ACF
17,13,5,453,752,686,244,MPF
17,14,4,565,1127,695,1587,DB
17,15,3,703,689,407,10533,CB
17,16,2,2318,1116,487,271,AC
17,17,1,386,1066,426,449,MP
17,18,8,603,815,832,1084,DF
17,19,7,697,767,715,733,CF
17,20,6,685,215,250,683,ACF
17,21,5,651,1120,792,1433,MPF
17,22,4,400,919,765,1032,DB
17,23,3,1300,954,638,455,CB
17,24,2,687,721,528,165,AC
17,25,1,802,929,443,616,MP
17,26,8,397,1535,773,1100,DF
17,27,7,609,813,522,1161,CF
17,28,6,594,553,728,426,ACF
17,29,5,524,905,597,297,MPF
17,30,4,420,644,603,271,DB
17,31,3,414,791,426,536,CB
17,32,2,670,911,695,751,AC
18,1,2,375,986,1037,447,AC
18,2,1,678,1158,776,880,MP
18,3,8,523,138,1095,656,DF
18,4,7,392,377,1028,409,CF
18,5,6,850,972,985,572,ACF
18,6,5,673,1045,913,368,MPF
18,7,4,1168,1307,795,1234,DB
18,8,3,798,754,664,630,CB
18,9,2,427,1315,748,674,AC
18,10,1,772,1421,456,550,MP
18,11,8,912,1280,847,541,DF
18,12,7,424,1616,1735,430,CF
18,13,6,657,1244,1686,642,ACF
18,14,5,657,1477,1047,1239,MPF
18,15,4,966,790,732,755,DB
18,16,3,475,158,759,636,CB
18,17,2,755,804,1324,708,AC
18,18,1,637,880,801,462,MP
18,19,8,706,349,1028,629,DF
18,20,7,730,142,1153,479,CF
18,21,6,699,936,1219,771,ACF
18,22,5,1344,1515,898,654,MPF
18,23,4,642,1048,1740,729,DB
18,24,3,1223,1302,563,705,CB
18,25,2,2040,1124,908,375,AC
18,26,1,656,1664,738,359,MP
18,27,8,711,856,1391,411,DF
18,28,7,407,1327,1137,471,CF
18,29,6,926,1183,670,1428,ACF
18,30,5,852,682,1006,671,MPF
18,31,4,397,811,902,654,DB
18,32,3,676,1056,626,742,CB
19,1,3,523,666,,944,CB
19,2,2,287,703,343,246,AC
19,3,1,1563,585,677,284,MP
19,4,8,311,652,,306,DF
19,5,7,289,572,1139,,CF
19,6,6,334,1074,451,403,ACF
19,7,5,639,1457,632,404,MPF
19,8,4,318,402,415,449,DB
19,9,3,522,609,352,254,CB
19,10,2,366,1029,716,311,AC
19,11,1,528,699,547,264,MP
19,12,8,332,536,474,239,DF
19,13,7,438,305,735,445,CF
19,14,6,477,962,656,131,ACF
19,15,5,570,783,893,1230,MPF
19,16,4,337,1214,358,311,DB
19,17,3,725,526,478,835,CB
19,18,2,728,238,163,,AC
19,19,1,327,726,464,171,MP
19,20,8,474,899,1284,937,DF
19,21,7,921,649,534,833,CF
19,22,6,367,815,611,845,ACF
19,23,5,902,636,834,952,MPF
19,24,4,274,1173,476,428,DB
19,25,3,539,802,572,2732,CB
19,26,2,352,286,222,582,AC
19,27,1,2070,689,376,427,MP
19,28,8,351,764,368,838,DF
19,29,7,338,305,,295,CF
19,30,6,292,682,1441,,ACF
19,31,5,348,2337,858,349,MPF
19,32,4,662,407,1068,,DB
20,1,4,457,180,693,238,DB
20,2,3,374,845,749,438,CB
20,3,2,416,1451,957,263,AC
20,4,1,550,1113,538,385,MP
20,5,8,360,1131,517,533,DF
20,6,7,614,739,791,345,CF
20,7,6,329,657,867,321,ACF
20,8,5,315,1166,818,410,MPF
20,9,4,800,1069,968,198,DB
20,10,3,725,1540,,399,CB
20,11,2,386,1332,782,191,AC
20,12,1,764,1278,584,627,MP
20,13,8,460,1019,669,1828,DF
20,14,7,513,,286,415,CF
20,15,6,614,1418,956,513,ACF
20,16,5,593,175,886,899,MPF
20,17,4,402,1202,732,814,DB
20,18,3,490,1389,532,333,CB
20,19,2,341,1426,1033,489,AC
20,20,1,796,1058,866,393,MP
20,21,8,395,773,632,791,DF
20,22,7,471,1319,844,734,CF
20,23,6,350,263,844,481,ACF
20,24,5,817,821,841,800,MPF
20,25,4,664,589,431,338,DB
20,26,3,616,594,628,570,CB
20,27,2,352,238,1033,656,AC
20,28,1,1572,1255,474,737,MP
20,29,8,212,356,322,366,DF
20,30,7,834,2150,855,810,CF
20,31,6,345,795,1043,624,ACF
20,32,5,371,800,1530,377,MPF
21,1,5,2721,406,1218,572,MPF
21,2,4,,1388,873,1915,DB
21,3,3,,1990,679,617,CB
21,4,2,1011,156,1041,743,AC
21,5,1,1275,2189,1784,498,MP
21,6,8,1050,902,1530,646,DF
21,7,7,999,876,1656,1239,CF
21,8,6,799,1885,1351,711,ACF
21,9,5,863,1727,1445,820,MPF
21,10,4,1081,2345,1021,2075,DB
21,11,3,712,3089,3122,545,CB
21,12,2,989,2491,559,505,AC
21,13,1,1948,3663,1106,279,MP
21,14,8,2335,2090,6204,1074,DF
21,15,7,1063,,,689,CF
21,16,6,1630,2281,852,1164,ACF
21,17,5,2034,4957,683,498,MPF
21,18,4,485,1416,695,493,DB
21,19,3,916,1658,805,467,CB
21,20,2,1452,809,1215,987,AC
21,21,1,2286,1586,1962,1041,MP
21,22,8,1847,216,2715,726,DF
21,23,7,730,1286,1017,753,CF
21,24,6,1309,274,1903,1138,ACF
21,25,5,808,959,811,494,MPF
21,26,4,1259,857,789,384,DB
21,27,3,540,1732,986,2689,CB
21,28,2,1057,240,1147,564,AC
21,29,1,1897,1457,425,747,MP
21,30,8,1374,3304,1545,1393,DF
21,31,7,1358,3159,1130,958,CF
21,32,6,946,2069,182,802,ACF
22,1,6,1045,515,686,239,ACF
22,2,5,586,870,703,474,MPF
22,3,4,1390,1102,387,145,DB
22,4,3,1056,515,420,640,CB
22,5,2,635,614,530,90,AC
22,6,1,761,432,445,482,MP
22,7,8,560,1480,978,91,DF
22,8,7,630,514,1147,1090,CF
22,9,6,509,628,494,347,ACF
22,10,5,596,454,457,658,MPF
22,11,4,477,406,335,421,DB
22,12,3,346,527,352,128,CB
22,13,2,1319,297,225,208,AC
22,14,1,806,557,443,407,MP
22,15,8,823,1179,790,503,DF
22,16,7,409,526,333,289,CF
22,17,6,775,533,1044,427,ACF
22,18,5,345,1197,503,500,MPF
22,19,4,515,873,600,265,DB
22,20,3,402,373,190,224,CB
22,21,2,783,1322,322,203,AC
22,22,1,702,792,409,509,MP
22,23,8,729,109,,291,DF
22,24,7,560,630,1016,256,CF
22,25,6,712,621,,376,ACF
22,26,5,302,524,627,431,MPF
22,27,4,561,522,535,,DB
22,28,3,322,584,276,304,CB
22,29,2,661,503,351,322,AC
22,30,1,363,590,500,302,MP
22,31,8,527,1107,1010,376,DF
22,32,7,363,394,369,184,CF
23,1,7,625,815,526,567,CF
23,2,6,2015,942,700,835,ACF
23,3,5,1906,1684,,143,MPF
23,4,4,370,1018,420,1017,DB
23,5,3,751,940,,1156,CB
23,6,2,857,2673,1158,329,AC
23,7,1,1336,809,,671,MP
23,8,8,953,1152,1033,178,DF
23,9,7,508,1213,139,750,CF
23,10,6,580,970,758,522,ACF
23,11,5,696,977,629,201,MPF
23,12,4,308,568,590,660,DB
23,13,3,188,1361,,1073,CB
23,14,2,606,1084,,166,AC
23,15,1,578,1058,452,284,MP
23,16,8,753,1307,842,219,DF
23,17,7,399,555,1233,549,CF
23,18,6,1213,1069,968,659,ACF
23,19,5,773,1657,470,627,MPF
23,20,4,989,531,562,,DB
23,21,3,840,821,817,608,CB
23,22,2,512,371,176,348,AC
23,23,1,1754,890,470,424,MP
23,24,8,486,1173,,853,DF
23,25,7,712,436,,140,CF
23,26,6,402,671,687,306,ACF
23,27,5,1248,736,765,1713,MPF
23,28,4,483,1253,,1016,DB
23,29,3,567,433,803,627,CB
23,30,2,349,,,126,AC
23,31,1,1575,2048,483,279,MP
23,32,8,1388,629,934,183,DF
24,1,8,443,703,982,1238,DF
24,2,7,638,659,817,487,CF
24,3,6,844,1017,165,465,ACF
24,4,5,727,514,1574,610,MPF
24,5,4,775,927,486,535,DB
24,6,3,663,1065,341,385,CB
24,7,2,463,1331,766,362,AC
24,8,1,480,555,794,283,MP
24,9,8,523,1507,372,1395,DF
24,10,7,414,1384,916,573,CF
24,11,6,635,1114,508,952,ACF
24,12,5,988,1239,771,198,MPF
24,13,4,333,163,219,94,DB
24,14,3,532,750,393,150,CB
24,15,2,514,1171,,131,AC
24,16,1,1216,738,927,171,MP
24,17,8,400,633,,171,DF
24,18,7,1271,930,792,524,CF
24,19,6,1422,129,132,754,ACF
24,20,5,2518,789,,138,MPF
24,21,4,411,123,449,321,DB
24,22,3,614,1132,179,643,CB
24,23,2,344,1275,,456,AC
24,24,1,796,1138,647,224,MP
24,25,8,481,550,143,493,DF
24,26,7,561,629,740,1040,CF
24,27,6,1086,436,533,857,ACF
24,28,5,490,934,731,1063,MPF
24,29,4,786,920,757,588,DB
24,30,3,569,1087,453,166,CB
24,31,2,452,705,,125,AC
24,32,1,487,615,505,437,MP
25,1,1,653,255,359,261,MP
25,2,8,367,752,723,597,DF
25,3,7,364,239,949,136,CF
25,4,6,1079,700,218,535,ACF
25,5,5,437,144,563,437,MPF
25,6,4,614,320,502,435,DB
25,7,3,425,193,477,170,CB
25,8,2,367,659,549,277,AC
25,9,1,294,948,469,382,MP
25,10,8,744,507,502,480,DF
25,11,7,381,254,1112,414,CF
25,12,6,673,168,583,396,ACF
25,13,5,558,604,521,226,MPF
