P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
9,5,5,0,0,0,1,MPF
9,6,4,0,0,1,1,DB
9,7,3,0,0,1,1,CB
9,8,2,0,0,0,1,AC
9,9,1,0,1,0,0,MP
9,10,8,0,1,0,1,DF
9,11,7,0,0,0,1,CF
9,12,6,0,1,1,0,ACF
9,13,5,0,1,1,1,MPF
9,14,4,0,0,0,1,DB
9,15,3,0,0,0,0,CB
9,16,2,0,1,1,1,AC
9,17,1,0,1,0,1,MP
9,18,8,0,0,0,1,DF
9,19,7,0,0,0,1,CF
9,20,6,0,1,1,1,ACF
9,21,5,0,0,0,1,MPF
9,22,4,0,1,0,1,DB
9,23,3,0,0,0,1,CB
9,24,2,0,0,0,0,AC
9,25,1,0,0,1,0,MP
9,26,8,0,0,0,1,DF
9,27,7,0,1,1,1,CF
9,28,6,0,1,1,1,ACF
9,29,5,0,0,1,1,MPF
9,30,4,0,0,0,1,DB
9,31,3,0,0,0,1,CB
9,32,2,0,0,0,1,AC
10,1,2,0,0,0,1,AC
10,2,1,0,0,0,1,MP
10,3,8,0,1,0,1,DF
10,4,7,0,0,0,0,CF
10,5,6,0,1,0,1,ACF
10,6,5,0,0,0,1,MPF
10,7,4,0,0,0,1,DB
10,8,3,0,0,0,1,CB
10,9,2,0,0,0,1,AC
10,10,1,0,0,0,0,MP
10,11,8,0,0,1,1,DF
10,12,7,0,1,1,0,CF
10,13,6,0,0,1,0,ACF
10,14,5,0,0,1,0,MPF
10,15,4,0,0,0,1,DB
10,16,3,0,1,0,1,CB
10,17,2,0,0,0,1,AC
10,18,1,0,0,0,1,MP
10,19,8,0,0,0,1,DF
10,20,7,0,1,0,1,CF
10,21,6,0,1,0,1,ACF
10,22,5,0,0,1,1,MPF
10,23,4,0,0,0,1,DB
10,24,3,0,1,1,0,CB
10,25,2,0,1,1,1,AC
10,26,1,0,0,0,1,MP
10,27,8,0,1,0,0,DF
10,28,7,0,0,0,1,CF
10,29,6,0,1,0,1,ACF
10,30,5,0,0,0,1,MPF
10,31,4,0,0,1,1,DB
10,32,3,0,0,0,1,CB
11,1,3,0,0,0,1,CB
11,2,2,0,0,0,1,AC
11,3,1,0,0,0,1,MP
11,4,8,0,1,1,1,DF
11,5,7,0,0,0,1,CF
11,6,6,0,0,0,1,ACF
11,7,5,0,0,1,1,MPF
11,8,4,0,0,0,1,DB
11,9,3,0,0,0,1,CB
11,10,2,0,0,0,1,AC
11,11,1,0,0,0,1,MP
11,12,8,0,0,0,0,DF
11,13,7,0,0,0,1,CF
11,14,6,0,0,1,1,ACF
11,15,5,0,0,1,1,MPF
11,16,4,0,0,0,1,DB
11,17,3,0,1,0,1,CB
11,18,2,0,0,0,1,AC
11,19,1,0,0,0,1,MP
11,20,8,0,0,0,1,DF
11,21,7,0,0,0,0,CF
11,22,6,0,0,0,1,ACF
11,23,5,0,0,1,1,MPF
11,24,4,0,0,0,1,DB
11,25,3,0,0,0,1,CB
11,26,2,0,0,1,1,AC
11,27,1,0,0,0,1,MP
11,28,8,0,0,0,0,DF
11,29,7,0,0,0,0,CF
11,30,6,0,0,0,1,ACF
11,31,5,0,0,0,1,MPF
11,32,4,0,0,1,1,DB
12,1,4,0,0,1,1,DB
12,2,3,0,0,1,1,CB
12,3,2,0,0,0,1,AC
