P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
12,30,7,5879,5808,4226,2828,CF
12,31,6,2741,3873,2420,699,ACF
12,32,5,1674,2143,907,1822,MPF
13,1,5,1839,1944,2947,1243,MPF
13,2,4,1765,2540,1859,636,DB
13,3,3,1845,2195,1904,896,CB
13,4,2,566,1684,1810,663,AC
13,5,1,1282,1148,1254,835,MP
13,6,8,2886,2350,1950,1956,DF
13,7,7,1136,1655,1529,359,CF
13,8,6,2704,2680,2774,1673,ACF
13,9,5,1951,1322,1598,1748,MPF
13,10,4,1502,2200,2252,1939,DB
13,11,3,1764,2359,1459,1868,CB
13,12,2,1190,1040,1600,1030,AC
13,13,1,1243,1169,1690,2320,MP
13,14,8,3656,3138,2405,1225,DF
13,15,7,1449,1936,878,1795,CF
13,16,6,1732,1687,1988,1754,ACF
13,17,5,3713,2262,2449,1849,MPF
13,18,4,1543,2422,1550,1013,DB
13,19,3,1342,3069,843,2567,CB
13,20,2,2351,3368,1401,1296,AC
13,21,1,4314,1592,1344,667,MP
13,22,8,1008,1224,919,2183,DF
13,23,7,2081,2939,4587,2927,CF
13,24,6,2873,1489,2076,503,ACF
13,25,5,2892,2492,2189,2150,MPF
13,26,4,1889,3388,3601,2620,DB
13,27,3,2307,3480,1808,1864,CB
13,28,2,829,1108,1568,1039,AC
13,29,1,1159,1424,937,326,MP
13,30,8,1657,1719,4014,6008,DF
13,31,7,1538,1475,1670,1666,CF
13,32,6,2952,3218,3593,2125,ACF
14,1,6,1469,1023,2190,1535,ACF
14,2,5,,,,,MPF
14,3,4,1827,1470,1071,1629,DB
14,4,3,613,1314,1212,1264,CB
14,5,2,,,,1450,AC
14,6,1,197,,2435,1644,MP
14,7,8,177,,465,513,DF
14,8,7,1409,404,1175,1713,CF
14,9,6,198,,1522,1094,ACF
14,10,5,457,628,1400,1132,MPF
14,11,4,,,334,645,DB
14,12,3,,,,1593,CB
14,13,2,2481,956,1694,453,AC
14,14,1,726,443,1184,1367,MP
14,15,8,705,282,1317,1228,DF
14,16,7,354,,825,1334,CF
14,17,6,,,938,197,ACF
14,18,5,,,677,374,MPF
14,19,4,769,763,899,995,DB
14,20,3,168,153,646,2483,CB
14,21,2,1462,990,784,,AC
14,22,1,,,132,1330,MP
14,23,8,415,933,371,1707,DF
14,24,7,284,471,1078,582,CF
14,25,6,601,,694,1304,ACF
14,26,5,1454,615,762,411,MPF
14,27,4,,,2232,636,DB
14,28,3,641,571,1872,202,CB
14,29,2,,,1741,1374,AC
14,30,1,757,,1273,563,MP
14,31,8,,,647,162,DF
14,32,7,,,134,1171,CF
15,1,7,1863,1316,870,2208,CF
15,2,6,934,1412,2296,1673,ACF
15,3,5,761,794,2739,4386,MPF
15,4,4,1022,859,812,1512,DB
15,5,3,947,789,587,1743,CB
15,6,2,999,850,655,1192,AC
15,7,1,1917,885,500,789,MP
15,8,8,686,1073,1335,1051,DF
15,9,7,3149,2038,2034,2422,CF
15,10,6,3217,3950,2131,1767,ACF
15,11,5,1803,737,1303,1425,MPF
15,12,4,1365,2052,1530,1837,DB
15,13,3,1576,2785,1557,1948,CB
15,14,2,2145,3407,1988,1686,AC
15,15,1,1252,1119,518,813,MP
15,16,8,516,635,694,971,DF
15,17,7,966,1077,1120,2033,CF
15,18,6,1691,1747,735,1882,ACF
15,19,5,2350,2197,1398,4173,MPF
15,20,4,500,576,737,725,DB
15,21,3,1755,936,935,1914,CB
15,22,2,856,2029,645,1154,AC
15,23,1,1116,1279,590,1155,MP
15,24,8,1343,1230,555,1182,DF
15,25,7,1773,1382,1448,1640,CF
15,26,6,619,830,891,1420,ACF
15,27,5,1382,831,1348,1261,MPF
15,28,4,610,884,575,1149,DB
15,29,3,1565,1032,430,1307,CB
15,30,2,1872,1605,1253,2892,AC
15,31,1,1848,1524,781,959,MP
15,32,8,1755,873,990,1670,DF
16,1,8,1824,1570,666,1813,DF
16,2,7,1799,2047,1321,1728,CF
16,3,6,971,2583,3515,2055,ACF
16,4,5,1854,1360,1142,1059,MPF
16,5,4,1286,1650,1000,486,DB
16,6,3,839,2552,3372,681,CB
16,7,2,1840,1176,1037,1868,AC
16,8,1,1965,1497,1021,667,MP
16,9,8,1441,1396,1474,723,DF
16,10,7,2828,3432,912,642,CF
16,11,6,3807,3679,2134,1343,ACF
16,12,5,4378,3934,2218,947,MPF
16,13,4,1149,2554,2407,687,DB
16,14,3,1659,2346,2865,1326,CB
